"SN","TN","ti","Hand","Block","CN"
3,161,330,-6.454718105,"FB",7
3,162,255,-5.115516473,"FB",7
3,163,15,5.587911612,"FB",7
3,164,30,-2.407843688,"FB",7
3,165,150,7.067899562,"FB",7
3,166,210,3.157923885,"FB",7
3,167,195,-2.607286523,"FB",7
3,168,240,-10.17176332,"FB",7
3,169,330,-0.821935585,"FB",8
3,170,105,2.974487489,"FB",8
3,171,255,-9.729895161,"FB",8
3,172,240,4.062577015,"FB",8
3,173,270,2.583020669,"FB",8
3,174,180,-2.549156178,"FB",8
3,175,150,-4.530825742,"FB",8
3,176,0,3.305830232,"FB",8
3,177,225,0.151175848,"FB",8
3,178,210,-0.734319486,"FB",8
3,179,90,8.922411221,"FB",8
3,180,60,-3.820137177,"FB",8
3,181,45,-2.368548288,"FB",8
3,182,75,-1.979710845,"FB",8
3,183,15,1.606980579,"FB",8
3,184,315,3.754183797,"FB",8
3,185,120,12.52579553,"FB",8
3,186,285,4.872175819,"FB",8
3,187,30,2.787372587,"FB",8
3,188,300,-2.327921777,"FB",8
3,189,345,0.963756532,"FB",8
3,190,195,-3.651946587,"FB",8
3,191,165,-3.145578659,"FB",8
3,192,135,3.205215931,"FB",8
4,1,315,18.79137209,"NoFB",1
4,2,270,1.762391024,"NoFB",1
4,3,345,-4.259291644,"NoFB",1
4,4,210,-0.848579874,"NoFB",1
4,5,285,8.985010899,"NoFB",1
4,6,60,-1.531022942,"NoFB",1
4,7,90,9.595956437,"NoFB",1
4,8,225,-1.644403265,"NoFB",1
4,9,15,4.57312583,"NoFB",1
4,10,135,13.46897706,"NoFB",1
4,11,75,-2.234103412,"NoFB",1
4,12,255,-7.951170425,"NoFB",1
4,13,240,-5.31121344,"NoFB",1
4,14,150,7.675573029,"NoFB",1
4,15,0,2.037330697,"NoFB",1
4,16,195,0.395549254,"NoFB",1
4,17,45,-0.703843948,"NoFB",1
4,18,120,8.170755697,"NoFB",1
4,19,105,11.90274341,"NoFB",1
4,20,180,7.880146589,"NoFB",1
4,21,300,7.39513072,"NoFB",1
4,22,30,-2.052513575,"NoFB",1
4,23,330,5.457565118,"NoFB",1
4,24,165,6.520182073,"NoFB",1
4,25,330,6.243092416,"NoFB",2
4,26,150,10.47143197,"NoFB",2
4,27,105,4.612093709,"NoFB",2
4,28,120,8.207299355,"NoFB",2
4,29,240,-8.418055345,"NoFB",2
4,30,270,-1.245364267,"NoFB",2
4,31,60,-2.929854511,"NoFB",2
4,32,300,1.304123496,"NoFB",2
4,33,135,8.880659151,"NoFB",2
4,34,30,-2.447188423,"NoFB",2
4,35,165,11.20078018,"NoFB",2
4,36,15,2.658981196,"NoFB",2
4,37,285,7.664557435,"NoFB",2
4,38,210,0.917438208,"NoFB",2
4,39,315,10.07433273,"NoFB",2
4,40,45,-5.11731485,"NoFB",2
4,41,90,10.2320206,"NoFB",2
4,42,195,6.674649119,"NoFB",2
4,43,0,2.754374231,"NoFB",2
4,44,75,12.14776442,"NoFB",2
4,45,345,10.20174896,"NoFB",2
4,46,180,10.36127696,"NoFB",2
4,47,225,-4.727987819,"NoFB",2
4,48,255,0.029401762,"NoFB",2
4,49,135,20.91254769,"NoFB",3
4,50,75,11.43673194,"NoFB",3
4,51,180,2.228283656,"NoFB",3
4,52,60,13.85028991,"NoFB",3
4,53,345,6.37822458,"NoFB",3
4,54,225,-4.293430729,"NoFB",3
4,55,270,2.37769766,"NoFB",3
4,56,45,6.24416539,"NoFB",3
4,57,90,9.113155575,"NoFB",3
4,58,165,8.584053632,"NoFB",3
4,59,300,8.592559717,"NoFB",3
4,60,315,12.92835339,"NoFB",3
4,61,105,8.428692809,"NoFB",3
4,62,210,-1.65890457,"NoFB",3
4,63,255,1.504266719,"NoFB",3
4,64,150,3.875676896,"NoFB",3
4,65,330,4.519282052,"NoFB",3
4,66,120,13.28320179,"NoFB",3
4,67,285,5.503262388,"NoFB",3
4,68,0,6.232856204,"NoFB",3
4,69,15,1.504361382,"NoFB",3
4,70,195,7.822980598,"NoFB",3
4,71,240,-4.279619754,"NoFB",3
4,72,30,5.463364242,"NoFB",3
4,73,210,1.594124759,"NoFB",4
4,74,60,15.29644818,"NoFB",4
4,75,285,5.533209119,"NoFB",4
4,76,180,0.958835661,"NoFB",4
4,77,0,8.426969021,"NoFB",4
4,78,330,9.579984391,"NoFB",4
4,79,240,-5.37310276,"NoFB",4
4,80,195,1.197322956,"NoFB",4
4,81,255,5.811163923,"NoFB",4
4,82,90,14.27086861,"NoFB",4
4,83,165,7.75940987,"NoFB",4
4,84,150,7.943566473,"NoFB",4
4,85,105,10.39407409,"NoFB",4
4,86,135,10.53918373,"NoFB",4
4,87,45,-0.145052296,"NoFB",4
4,88,270,5.988148376,"NoFB",4
4,89,225,-3.696142007,"NoFB",4
4,90,75,16.28732894,"NoFB",4
4,91,300,5.926195272,"NoFB",4
4,92,15,6.634488532,"NoFB",4
4,93,315,5.002529885,"NoFB",4
4,94,345,15.67669034,"NoFB",4
4,95,120,15.98211716,"NoFB",4
4,96,30,2.535067158,"NoFB",4
4,97,60,7.565307947,"FB",5
4,98,30,3.082324095,"FB",5
4,99,315,19.15886419,"FB",5
4,100,270,10.08059799,"FB",5
4,101,0,5.951422279,"FB",5
4,102,135,21.32439737,"FB",5
4,103,90,15.91114858,"FB",5
4,104,300,10.0754503,"FB",5
4,105,120,10.71846376,"FB",5
4,106,75,13.29018596,"FB",5
4,107,45,4.469557478,"FB",5
4,108,195,6.003222711,"FB",5
4,109,255,-0.891521183,"FB",5
4,110,105,6.42766541,"FB",5
4,111,225,6.274334557,"FB",5
4,112,15,-2.113517471,"FB",5
4,113,345,0.154547918,"FB",5
4,114,285,6.647492383,"FB",5
4,115,210,-3.086120381,"FB",5
4,116,240,-1.410565191,"FB",5
4,117,150,8.236161511,"FB",5
4,118,165,5.682913931,"FB",5
4,119,180,5.153908561,"FB",5
4,120,330,-2.050145527,"FB",5
4,121,30,-10.4141747,"FB",6
4,122,345,-0.524110997,"FB",6
4,123,105,10.07604665,"FB",6
4,124,135,9.579299954,"FB",6
4,125,210,-3.725787845,"FB",6
4,126,285,1.139242651,"FB",6
4,127,150,8.705964944,"FB",6
4,128,195,0.806193601,"FB",6
4,129,315,-1.036244769,"FB",6
4,130,90,10.39205459,"FB",6
4,131,270,3.985478613,"FB",6
4,132,225,-2.109942848,"FB",6
4,133,75,1.282653682,"FB",6
4,134,45,-1.259045207,"FB",6
4,135,60,7.425861921,"FB",6
4,136,15,-6.694323794,"FB",6
4,137,120,8.23876149,"FB",6
